LineID,Type,Speaker,Value,Next
# ═══ Day 27 아침 - 마지막 자유기간 시작 ═══
,BG,,BG_MyRoom_Interior_Day:Cross,await
,Sound,,BGM:Daily2,>
,FX,,EyeOpen:1.0,await
,Text,,"27일차.\n남은 건 단 3일.",click
,Text,,"이 한 달 동안... 정말 많은 일이 있었다.",click
,Char,,C:Enter:Roa,await
,Overlay,,Roa_Theme:FadeIn:0.5,await
,Char,,C:Emote:Default,await
,Text,로아,"{{PlayerName}}...",click
,Text,로아,"벌써 얼마 안 남았네.",click
,Text,{{PlayerName}},응... 빠르다.,click
,Char,,C:Emote:Smile,await
,Text,로아,"아직 하고 싶은 거 있으면 지금 해! 후회하지 않게.",click
,Text,로아,"마지막까지 열심히 하자!",click
,Char,,C:Exit,await
,Overlay,,FadeOut:0.3,>
,FX,,FadeOut:0.5,await
,FX,,FadeIn:0.5,await
,Flow,,End,>
