LineID,Type,Speaker,Value,Next
# ═══ 서다은 해피 엔딩 ═══
,BG,,Black,await
,Sound,,BGM:Stop:Fade:2.0,await
,Text,,"......",click
,FX,,FadeIn:1.0,await
,BG,,CampusStreet/BG_Campus_Street1_Day:Cross:2.0,await
,Sound,,BGM:Daily1,>
,Text,,"도서관 앞. 약속 시간보다 일찍 도착했다.",click
,Char,,C:Enter:Daeun:Default,await
,Text,서다은,"...왔구나. 정확히 10분 전.",click
,Text,{{PlayerName}},너도 일찍 왔네.,click
,Char,,C:Emote:Smile,await
,Text,서다은,"나는 15분 전에 왔어.\n...이건 효율의 문제가 아니라 그냥...",click
,Text,서다은,"보고 싶어서.",click
,Text,{{PlayerName}},......!,click
,Char,,C:Emote:Shy,await
,Text,서다은,"왜 그렇게 봐?\n사실을 말한 건데.",click
,Text,{{PlayerName}},나도. 보고 싶었어.,click
,Char,,C:Emote:Happy,await
,Text,서다은,"...고마워.\n{{PlayerName}} 덕분에 이번 학기가 특별했어.",click
,Text,서다은,"다음 학기에도... 옆 자리 비워둘게.",click
,Char,,C:Exit,await
,Text,,"그녀의 솔직한 말 한마디가\n가슴 깊이 남았다.",click
,FX,,FadeOut:2.0,await
,Sound,,BGM:Stop:Fade:2.0,await
,Text,,"── 서다은 해피 엔딩 ──\n\n옆자리의 온도",click
,Flow,,End,>
