LineID,Type,Speaker,Value,Next
# ═══ 2차 개인 이벤트 (Day 16) ═══
# 히로인 선택 후 데이트 이벤트, 선택한 히로인에게 +6 포인트
,BG,,Black,await
,Sound,,BGM:Stop:Fade:1.0,await
,FX,,FadeIn:1.0,await
,BG,,CampusStreet/BG_Campus_Street1_Day:Cross:2.0,await
,Sound,,BGM:Daily1,>
,Text,,"중간고사가 끝나고 여유로운 주말.",click
,Text,,"누구와 보내고 싶은 하루.",click
# ── 히로인 선택 ──
,Choice,,,>
,Option,,"하예은|Event2_Yeun|Love:Yeun:6",>
,Option,,"서다은|Event2_Daeun|Love:Daeun:6",>
,Option,,"이봄|Event2_Bom|Love:Bom:6",>
,Option,,"도희원|Event2_Heewon|Love:Heewon:6",>
,Option,,"로아 (앱)|Event2_Roa|Love:Roa:6",>
# ── 하예은 ──
Event2_Yeun,Char,,C:Enter:Yeun:Smile,await
,Text,하예은,"{{PlayerName}}~! 오늘 같이 운동할래?",click
,Text,하예은,"카페만 가면 재미없잖아!\n몸도 좀 움직이자!",click
,Text,{{PlayerName}},좋아. 뭐 할까?,click
,Char,,C:Emote:Happy,await
,Text,하예은,"배드민턴! 내가 가르쳐줄게!",click
,Char,,C:Exit,await
,Text,,"예은이와 함께 운동하며 즐거운 시간을 보냈다.\n한층 더 가까워진 느낌이 든다.",click
,Flow,,Jump:Event2_End,>
# ── 서다은 ──
Event2_Daeun,Char,,C:Enter:Daeun:Default,await
,Text,서다은,"시험 끝났으니 보상이 필요해.\n...책방 같이 가줄 수 있어?",click
,Text,{{PlayerName}},당연하지.,click
,Char,,C:Emote:Smile,await
,Text,서다은,"고마워.\n...네 취향도 알고 싶었거든.",click
,Char,,C:Exit,await
,Text,,"다은이와 서점에서 시간을 보냈다.\n서로의 취향을 알게 됐다.",click
,Flow,,Jump:Event2_End,>
# ── 이봄 ──
Event2_Bom,Char,,C:Enter:Bom:Happy,await
,Text,이봄,"시험 끝났다~! 놀자놀자!",click
,Text,이봄,"노래방 어때? 스트레스 날리자!",click
,Text,{{PlayerName}},가자!,click
,Char,,C:Emote:Happy,await
,Text,이봄,"{{PlayerName}}이랑 노래방은 처음이다~!",click
,Char,,C:Exit,await
,Text,,"봄이와 신나게 노래를 부르며\n스트레스를 날렸다.",click
,Flow,,Jump:Event2_End,>
# ── 도희원 ──
Event2_Heewon,Char,,C:Enter:Heewon:Default,await
,Text,도희원,"시험 끝나서 한가해.\n...산책하자.",click
,Text,{{PlayerName}},좋아.,click
,Char,,C:Emote:Smile,await
,Text,도희원,"사실 보여주고 싶은 데가 있어.\n따라와.",click
,Char,,C:Exit,await
,Text,,"희원이가 데려간 곳은 캠퍼스 뒤편 작은 정원이었다.\n비밀스러운 공간을 공유했다.",click
,Flow,,Jump:Event2_End,>
# ── 로아 ──
Event2_Roa,Char,,C:Enter:Roa:Happy,await
,Overlay,,Roa_Theme:FadeIn:0.5,await
,Text,로아,"시험 끝났어! 수고했어, {{PlayerName}}!",click
,Text,로아,"오늘은 내가 특별한 걸 준비했어!\n퀴즈 타임~!",click
,Text,{{PlayerName}},뭐야 그게.,click
,Char,,C:Emote:Happy,await
,Text,로아,"나에 대한 퀴즈! 맞추면 상품 있어!",click
,Char,,C:Exit,await
,Overlay,,FadeOut:0.3,>
,Text,,"로아와의 시간이 점점 특별해지고 있다.",click
,Flow,,Jump:Event2_End,>
# ── 공통 마무리 ──
Event2_End,FX,,FadeOut:1.0,await
,Text,,"함께한 시간이 쌓일수록\n마음속 자리도 커져간다.",click
,Flow,,End,>
