LineID,Type,Speaker,Value,Next
# ═══ 축제 Day 3 (Day 12) - 포인트 +4 부여 ═══
,BG,,Black,await
,Sound,,BGM:Stop:Fade:1.0,await
,FX,,FadeIn:1.0,await
,BG,,CampusStreet/BG_Campus_Street1_Day:Cross:2.0,await
,Sound,,BGM:Daily1,>
,Text,,"축제 마지막 날.\n피날레 공연이 열린다.",click
,Text,,"누구와 함께 볼까?",click
# ── 히로인 선택 (축제 포인트 +4) ──
,Choice,,,>
,Option,,"하예은|Fest3_Yeun|Love:Yeun:4",>
,Option,,"서다은|Fest3_Daeun|Love:Daeun:4",>
,Option,,"이봄|Fest3_Bom|Love:Bom:4",>
,Option,,"도희원|Fest3_Heewon|Love:Heewon:4",>
,Option,,"로아 (앱)|Fest3_Roa|Love:Roa:4",>
# ── 짧은 반응 ──
Fest3_Yeun,Char,,C:Enter:Yeun:Happy,await
,Text,하예은,"같이 보자! 불꽃놀이도 한대!",click
,Char,,C:Exit,await
,Flow,,Jump:Fest3_End,>
Fest3_Daeun,Char,,C:Enter:Daeun:Smile,await
,Text,서다은,"...옆에 앉아.",click
,Char,,C:Exit,await
,Flow,,Jump:Fest3_End,>
Fest3_Bom,Char,,C:Enter:Bom:Happy,await
,Text,이봄,"피날레! 최고다~!",click
,Char,,C:Exit,await
,Flow,,Jump:Fest3_End,>
Fest3_Heewon,Char,,C:Enter:Heewon:Smile,await
,Text,도희원,"...시끄럽지만 싫지 않아.",click
,Char,,C:Exit,await
,Flow,,Jump:Fest3_End,>
Fest3_Roa,Char,,C:Enter:Roa:Happy,await
,Overlay,,Roa_Theme:FadeIn:0.5,await
,Text,로아,"카메라 켜! 같이 구경하자!",click
,Char,,C:Exit,await
,Overlay,,FadeOut:0.3,>
,Flow,,Jump:Fest3_End,>
# ── 공통 ──
Fest3_End,Text,,"화려한 피날레와 함께\n축제가 막을 내렸다.",click
,FX,,FadeOut:1.0,await
,Flow,,End,>
