LineID,Type,Speaker,Value,Next
# ═══ MT Day 2 (Day 21) - 포인트 +5 부여 ═══
,BG,,Black,await
,Sound,,BGM:Stop:Fade:1.0,await
,FX,,FadeIn:1.0,await
,BG,,MT/BG_MT_Night:Cross:2.0,await
,Sound,,BGM:Night,>
,Text,,"MT 둘째 날 밤.\n모닥불 주변에 모두 모였다.",click
,Text,,"담력 시험이 시작된다.\n누구와 짝을 이룰까?",click
# ── 히로인 선택 (MT 포인트 +5) ──
,Choice,,,>
,Option,,"하예은|MT2_Yeun|Love:Yeun:5",>
,Option,,"서다은|MT2_Daeun|Love:Daeun:5",>
,Option,,"이봄|MT2_Bom|Love:Bom:5",>
,Option,,"도희원|MT2_Heewon|Love:Heewon:5",>
,Option,,"로아 (영상통화)|MT2_Roa|Love:Roa:5",>
# ── 짧은 반응 ──
MT2_Yeun,Char,,C:Enter:Yeun:Surprise,await
,Text,하예은,"무서울 건 없어... 아마.",click
,Char,,C:Exit,await
,Flow,,Jump:MT2_End,>
MT2_Daeun,Char,,C:Enter:Daeun:Normal,await
,Text,서다은,"...별 거 아닐 거야.",click
,Char,,C:Exit,await
,Flow,,Jump:MT2_End,>
MT2_Bom,Char,,C:Enter:Bom:Happy,await
,Text,이봄,"으앙! 잡아줘~!",click
,Char,,C:Exit,await
,Flow,,Jump:MT2_End,>
MT2_Heewon,Char,,C:Enter:Heewon:Smile,await
,Text,도희원,"...앞서 갈게. 붙어.",click
,Char,,C:Exit,await
,Flow,,Jump:MT2_End,>
MT2_Roa,Char,,C:Enter:Roa:Happy,await
,Overlay,,Roa_Theme:FadeIn:0.5,await
,Text,로아,"나도 같이 가고 싶다...! 카메라 들고 가!",click
,Char,,C:Exit,await
,Overlay,,FadeOut:0.3,>
,Flow,,Jump:MT2_End,>
# ── 공통 ──
MT2_End,Text,,"짝과 함께 어두운 숲길을 걸었다.\n심장이 뛰는 건 귀신 때문만은 아닌 것 같다.",click
,FX,,FadeOut:1.0,await
,Flow,,End,>
