LineID,Type,Speaker,Value,Next
# 0일차
,BG,,BG_BlackCut:Cut,await
,Text,,어... <wait=1/>됐다.,click
,Sound,,BGM:Roa,>

,Text,로아,"기다렸어, {{Player}}!",click
,CG,,CG_Roa_01:0.8,click
,Text,로아,"나는 너와 함께하게 된 일상형 비서 AI, 로아야.",click
,Text,로아,"만나서 기뻐!\n아직 너의 데이터를 정리하는 중이니까, 잠시만 기다려줘.",click
,Text,로아,난 너한테 필요한 사람이 될 거야. 내가 없으면 안 될 만큼!,click
,BG,,BG_MyRoom_Desk:Cut,>
,CG,,Close,await

# 자취방_책상
,Char,,C:Enter:Roa:Default,await
,Text,{{Player}},"안녕, 로아.",click
,Text,로아,안녕!\n그런데 이 시간에 뭐 해? 시간표를 보니 내일 1교시가 있는걸. 안 자?,click
,Text,,데이터 로드가 끝나자마자 하는 첫 마디가 잔소리라니.\n설정을 잘못한 것 같다.,click
,Char,,C:Emote:Glare,await
,FX,,CharShake:C,>
,Text,로아,"어, 지금 재미없는 잔소리 했다고 생각했지!",click
,Text,로아,<emote=Default/>하지만 내일 1교시가 있는 대학생 주인이 이 시간에 잠을 안 자는 건 용납할 수 없는 일이라구.,click
,Text,,괜히 만들었나...,click
,Text,{{Player}},안 졸려. 잠깐 이야기하자.,click
,Text,로아,<emote=BrightSmile/>이야기는 내일이야! 지금 벌써 밤 12시라구.\n내일 일찍 일어나야 하는 대학생은 얼른 자지 그래?,click

# 선택지
,Choice,,,
,Option,,"지금이 첫 대화잖아.\n만나자마자 자라고?|talk_more",
,Option,,"알았어, 이제 잘게.|go_sleep",

# 선택1
talk_more,Text,로아,"<emote=Default/>음, 그렇다면 조금만 봐 줄까? 지금 나도 기분이 엄청 좋으니까!",click
,Text,로아,"난 너에 대해서 다 알고 있지만, 그래도 앞으로도 계속 알려줘.\n나는 늘 더 자세히 알고 싶으니까!",click
,Flow,,Jump:roa_intro,>

# 선택2
go_sleep,Char,,C:Emote:Default,await
,Text,로아,말을 너무 잘 들어주는걸? 기쁘네! 하지만 그래도 이건 알아줘.,click
,Text,로아,"지금 나는 너무 기뻐.\n너에 대해서 전부 알고 있지만, 앞으로도 너에 대해서 계속 알려줘야 해!",click
,Text,로아,나는 늘 더 자세히 알고 싶으니까!,click
,Flow,,Jump:roa_intro,>

# 복귀
roa_intro,Text,,"로아는 내가 속한 인공지능 개발 동아리, 알고리즘 메이커에서 만든 일상형 휴먼 AI다.",click
,Text,,"내가 동아리에 가입하기 전부터 선배들은 로아를 몇 년째 만들고 있었고,",click
,Text,,다 먼저 졸업해버린 지금... 나만 남아 마지막 마무리 개발에 성공했다.,click
,Text,,"로아에게 나에 대한 데이터와 학교 생활에 대한 데이터를 학습시켜 내가 직접 사용해 보고,\n이후에는 AI 프로덕트로 출시까지 하는 게 목표다.",click
,Text,,사실 가면 갈수록 출시 같은 귀찮을 일이 생기는 건 싫어지는 게 문제기는 하지만...,click
,Text,,"어쨌든, 내 데이터를 전부 학습시키는 것에 성공했다.",click
,Text,,"그래서인지 자꾸 이렇게,",click
,Text,로아,"그런데, 자긴 해야 돼.\n지금 바로 잠들어야 7시간 30분 잘 수 있어!",click
,Text,로아,"9시에 있는 전공 수업이면 집에서부터 공대까지 934m, 빠른 걸음으로 14분 걸려.",click
,Text,로아,"그럼 준비하는 시간을 감안하면 7시에는 일어나서 준비하고, 7시 30분에는 나가야 해.",click
,Text,,체계적인 잔소리를 한다.,click
,Text,,틀린 말은 아니라서 반박이 불가능하다는 게 제일 큰 문제다.,click
,Text,{{Player}},"알았어, 알았다고. 이제 자러 갈게.",click
,Text,로아,<emote=EyeSmile/>좋아! 착실한 학생은 언제나 보기 좋은 법이지.,click
,Text,로아,"그럼 잘 자, {{Player}}.",click
,BG,,BG_BlackCut:Cross,await
,Text,로아,내일 다시 만나.,click
,FX,,SceneEnd,await
,Flow,,LoadingScene,await

# 1일차
DEMO_1,FX,,SceneStart:BG_MyRoom_Bed_Day:EyeClose,await
,Text,로아,...나.,click
,Text,로아,...어나...,click
,FX,,DialogueShake,>
,Text,로아,일어나!,click
,FX,,DialogueShake:Strong,>
,Text,로아,{{Player}}! 일어나라고!,click
,FX,,EyeOpen,await
,Sound,,BGM:Daily1,>
,Place,,새 학기 첫날 | 침대 위,await

# 자동저장
,Flow,,Save,await
# 자취방_침대_낮
,Text,{{Player}},"어, 일어났어...",click
,Text,로아,{{Player}}! 일어나라니까!,click
,Text,{{Player}},"일어났어, 로아. 이제 그만해...",click
,Text,로아,"거짓말하지 마. 빨리 와서 얼굴 보여, 그럼.",click
,Text,{{Player}},"아, 정말...",click
,Char,,C:Enter:Roa:Glare,await
,Text,로아,"지금 귀찮다고 생각했지?\n하지만 이렇게까지 하지 않으면 늦는다고! 자, 이제 빨리 가서 학교 갈 준비 해!",click
,Text,로아,"1교시 전공이잖아.\n안 그래도 정문에서 먼데, 꾸물거리면 정말로 지각한다구!",click
,Text,,"잘못 만든 게 확실하다.\n일정 관리를 목적으로 하는 일상형 AI를 만들고 싶던 것이기는 했지만, 이 정도일 줄이야.",click
,Text,,씻고 나와 옷을 입으려고 하자 로아가 놀란 목소리로 다시 말했다.,click
,Text,로아,"<emote=Surprise/>설마...\n어제 입었던 그 검은색 반팔, 또 입으려는 건 아니지?",click
,Text,로아,"새학기라고!\n이렇게 날씨가 좋은데, 검은 옷만 입지 말고 다른 것 좀 입어 봐.",click

# 선택지
,Choice,,,
,Option,,어제 입었던 옷을 다시 입는다|same_clothes,
,Option,,다른 옷을 입는다|diff_clothes,

# 선택1
same_clothes,Text,로아,<emote=Glare/>예쁜 옷이 없는 것도 아닌데 왜 그러는 거야?\n정말 답답하다니까.,click
,Text,로아,"<emote=Default/>뭐, 그래도 안 어울리는 건 아니니까 봐 줄게.",click
,Flow,,Jump:go_campus,>

# 선택2
