LineID,Type,Speaker,Value,Next
# === 2차 개인 이벤트 (검증용 최소 스캐폴드) ===
# 기획서: 2차 이벤트 기본점수 +6. CSV 호출 컨벤션: Affinity:EventChoice:{heroineId}:Event2:6

,BG,,캠퍼스거리1 낮 맑음:Cross,await
,Sound,,BGM:일상1,>
,Place,,2차 이벤트 | 캠퍼스,await
,Text,,"중간고사가 끝난 주말. 이번에도 누군가와 시간을 보낼 수 있다.",click

,Choice,,,
,Option,,"하예은과 만난다.|pick_hayeeun",
,Option,,"서다은과 만난다.|pick_seodaeun",
,Option,,"이봄과 만난다.|pick_leebom",
,Option,,"도희원과 만난다.|pick_doheewon",
,Option,,"로아와 시간을 보낸다.|pick_roa",

pick_hayeeun,Flow,,Affinity:EventChoice:HaYeEun:Event2:6,>
,Char,,C:Enter:하예은:밝게웃음,await
,Text,하예은,"또 불러줘서 기뻐. 오늘은 뭐 할까?",click
,Text,,"하예은과 한층 가까워진 하루였다.",click
,Flow,,Jump:event2_end,>

pick_seodaeun,Flow,,Affinity:EventChoice:SeoDaEun:Event2:6,>
,Char,,C:Enter:서다은:눈웃음,await
,Text,서다은,"...두 번째네. 기억해 둘게.",click
,Text,,"서다은의 표정이 조금 부드러워진 것 같다.",click
,Flow,,Jump:event2_end,>

pick_leebom,Flow,,Affinity:EventChoice:LeeBom:Event2:6,>
,Char,,C:Enter:이봄:활짝웃음,await
,Text,이봄,"오늘은 내가 코스 다 짜놨어! 가자!",click
,Text,,"이봄의 페이스에 끌려다닌 즐거운 하루였다.",click
,Flow,,Jump:event2_end,>

pick_doheewon,Flow,,Affinity:EventChoice:DoHeewon:Event2:6,>
,Char,,C:Enter:도희원:기본,await
,Text,도희원,"늦지 않았네. 발전했어.",click
,Text,,"도희원과 차분하고 어른스러운 시간을 보냈다.",click
,Flow,,Jump:event2_end,>

pick_roa,Flow,,Affinity:EventChoice:Roa:Event2:6,>
,Text,로아,"<emote=활짝웃음/>또 나랑 있어주는 거야? 오늘 뭐 보여줄까?",click
,Text,,"로아와 함께 보내는 시간이 점점 자연스러워진다.",click
,Flow,,Jump:event2_end,>

event2_end,Text,,"알찬 하루가 저물었다.",click
,BG,,빈 화면:Cross,await
,Flow,,Save,await
,Flow,,End,>
