LineID,Type,Speaker,Value,Next
# === MT 2일차 (검증용 최소 스캐폴드) ===
# 기획서: "밤바다 산책 상대" 선택 +5. CSV 호출 컨벤션: Affinity:EventChoice:{heroineId}:MT:5
# ⚠️ 밤바다 BG 에셋 미존재 — 빈 화면 대체(ASSET_REQUESTS 후보).

,BG,,블랙:Cross,await
,Sound,,BGM:밤,>
,Place,,MT 둘째 날 밤 | 밤바다,await
,Text,,"바비큐가 끝나고 다들 흩어졌다. 파도 소리가 들린다.",click
,Text,,"바람도 쐴 겸... 누구에게 산책을 청해볼까.",click

,Choice,,,
,Option,,"하예은에게 청한다.|sea_hayeeun",
,Option,,"서다은에게 청한다.|sea_seodaeun",
,Option,,"이봄에게 청한다.|sea_leebom",
,Option,,"도희원에게 청한다.|sea_doheewon",
,Option,,"방에서 로아와 통화한다.|sea_roa",

sea_hayeeun,Flow,,Affinity:EventChoice:HaYeEun:MT:5,>
,Char,,C:Enter:하예은:부끄,await
,Text,하예은,"밤바다... 처음이야. 너랑 같이라서 다행이다.",click
,Flow,,Jump:mt2_end,>

sea_seodaeun,Flow,,Affinity:EventChoice:SeoDaEun:MT:5,>
,Char,,C:Enter:서다은:기본,await
,Text,서다은,"파도 소리, 데이터로는 못 담는 게 있네.",click
,Flow,,Jump:mt2_end,>

sea_leebom,Flow,,Affinity:EventChoice:LeeBom:MT:5,>
,Char,,C:Enter:이봄:활짝웃음,await
,Text,이봄,"밤바다 산책이라니! 영화 같다, 그치?",click
,Flow,,Jump:mt2_end,>

sea_doheewon,Flow,,Affinity:EventChoice:DoHeewon:MT:5,>
,Char,,C:Enter:도희원:눈웃음,await
,Text,도희원,"술자리보다 이쪽이 낫지. 안목 있네.",click
,Flow,,Jump:mt2_end,>

sea_roa,Flow,,Affinity:EventChoice:Roa:MT:5,>
,Text,로아,"<emote=울먹/>나만 두고 바다 간 거 아니지? ...목소리 들려줘서 좋아.",click
,Flow,,Jump:mt2_end,>

mt2_end,Text,,"밤이 깊어간다. 내일이면 돌아가는 날이다.",click
,BG,,블랙:Cross,await
,Flow,,Save,await
,Flow,,End,>
