																									
																									
																									
																									
																									
			금지어 목록	게임에서 사용하면 안되는 나쁜말을 적어주세요																					
																									
																									
																									
				언어 상관 없이 나쁜말을 적어주세요																					
			index	wordFilter																					
			1	가슴빨기																					
			2	가슴털																					
			3	가오가이																					
			4	가정폭력																					
			5	강간																					
			6	개같은																					
			7	개객기																					
			8	개놈																					
			9	개년																					
			10	개똥																					
			11	개돼지																					
			12	개망나니																					
			13	개멍청이																					
			14	개병신																					
			15	개부랄																					
			16	개새끼																					
			17	개색기																					
			18	개색히																					
			19	개쉐리																					
			20	개쉐이																					
			21	개시끼																					
			22	개아들																					
			23	개자식																					
			24	개좆																					
			25	개쥐랄																					
			26	개후장																					
			27	거유																					
			28	걸레																					
			29	걸레년																					
			30	게이																					
			31	계집																					
			32	계집년																					
			33	고환																					
			34	공갈																					
			35	공중분해																					
			36	구강성교																					
			37	귀두																					
			38	그지새끼																					
			39	근친																					
			40	근친상간																					
			41	근친성교																					
			42	기집																					
			43	기집년																					
			44	기형아																					
			45	깜둥이																					
			46	깜정이																					
			47	꺼져																					
			48	꺼지세요																					
			49	꺼지셈																					
			50	꼴값																					
			51	꼴뚜기																					
			52	꼴통																					
			53	꽃뱀																					
			54	나가뒤져																					
			55	나가죽어																					
			56	나체																					
			57	낙태																					
			58	난교																					
			59	난자																					
			60	남창																					
			61	너죽어																					
			62	네엄마																					
			63	네애비																					
			64	노브라																					
			65	노팬티																					
			66	녀놈																					
			67	녀석																					
			68	놈팽이																					
			69	누드																					
			70	느금																					
			71	느금마																					
			72	느금버지																					
			73	니애미																					
			74	니애비																					
			75	니미																					
			76	니미럴																					
			77	니아빠																					
			78	니엄마																					
			79	니후장																					
			80	다죽어																					
			81	딸딸이																					
			82	딸침																					
			83	딸치기																					
			84	똥구녕																					
			85	똥꼬																					
			86	뚜드려																					
			87	뚜드려맞아																					
			88	맘충																					
			89	망가																					
			90	메갈																					
			91	몸캠																					
			92	몽정																					
			93	무뇌																					
			94	미친																					
			95	미친년																					
			96	민폐녀																					
			97	밑구녕																					
			98	발기																					
			99	발정																					
			100	버러지																					
			101	벌레새끼																					
			102	벙어리																					
			103	변태																					
			104	병신																					
			105	보지																					
			106	보지년																					
			107	보X																					
			108	보빨																					
			109	부랄																					
			110	불알																					
			111	붕신																					
			112	븅딱																					
			113	븅신																					
			114	빡대가리																					
			115	빡치게																					
			116	빻은																					
			117	뻐큐																					
			118	뻑유																					
			119	뽕쟁이																					
			120	사까시																					
			121	살인																					
			122	상년																					
			123	상놈																					
			124	상폐녀																					
			125	생식기																					
			126	색골																					
			127	색마																					
			128	성감																					
			129	성기																					
			130	성노예																					
			131	성병																					
			132	성욕																					
			133	성추행																					
			134	성폭력																					
			135	성폭행																					
			136	섹스																					
			137	섹파																					
			138	소라넷																					
			139	소추																					
			140	속궁합																					
			141	쇼타																					
			142	수간																					
			143	수간녀																					
			144	수간남																					
			145	스캇																					
			146	스폰녀																					
			147	스폰서																					
			148	스팽킹																					
			149	시발																					
			150	시벌																					
			151	시봉																					
			152	시부랄																					
			153	시팔																					
			154	시펄																					
			155	시X발																					
			156	신음소리																					
			157	십창																					
			158	쌍년																					
			159	쌍놈																					
